product_id,title,image,store,high,low,date,price
459194c9-ae99-4842-a650-b2da6fdf89e3,LED Monitor Neo,mouse.webp,Flipkart,4876,3043,2025-07-24,3124
459194c9-ae99-4842-a650-b2da6fdf89e3,LED Monitor Neo,mouse.webp,Flipkart,4876,3043,2025-07-31,4747
459194c9-ae99-4842-a650-b2da6fdf89e3,LED Monitor Neo,mouse.webp,Flipkart,4876,3043,2025-08-07,3705
459194c9-ae99-4842-a650-b2da6fdf89e3,LED Monitor Neo,mouse.webp,Flipkart,4876,3043,2025-08-14,4595
459194c9-ae99-4842-a650-b2da6fdf89e3,LED Monitor Neo,mouse.webp,Flipkart,4876,3043,2025-08-21,4616
459194c9-ae99-4842-a650-b2da6fdf89e3,LED Monitor Neo,mouse.webp,Flipkart,4876,3043,2025-08-28,3273
459194c9-ae99-4842-a650-b2da6fdf89e3,LED Monitor Neo,mouse.webp,Flipkart,4876,3043,2025-09-04,4086
459194c9-ae99-4842-a650-b2da6fdf89e3,LED Monitor Neo,mouse.webp,Flipkart,4876,3043,2025-09-11,3339
459194c9-ae99-4842-a650-b2da6fdf89e3,LED Monitor Neo,mouse.webp,Flipkart,4876,3043,2025-09-18,3648
459194c9-ae99-4842-a650-b2da6fdf89e3,LED Monitor Neo,mouse.webp,Flipkart,4876,3043,2025-09-25,4141
459194c9-ae99-4842-a650-b2da6fdf89e3,LED Monitor Neo,mouse.webp,Flipkart,4876,3043,2025-10-02,3640
459194c9-ae99-4842-a650-b2da6fdf89e3,LED Monitor Neo,mouse.webp,Flipkart,4876,3043,2025-10-09,3258
459194c9-ae99-4842-a650-b2da6fdf89e3,LED Monitor Neo,mouse.webp,Flipkart,4876,3043,2025-10-16,4754
459194c9-ae99-4842-a650-b2da6fdf89e3,LED Monitor Neo,mouse.webp,Flipkart,4876,3043,2025-10-23,4634
459194c9-ae99-4842-a650-b2da6fdf89e3,LED Monitor Neo,mouse.webp,Flipkart,4876,3043,2025-10-30,4635
643ed390-8a55-42d3-878d-bc8141cdb548,LED Monitor Prime,earbuds.jpg,Flipkart,2158,1475,2025-07-24,1846
643ed390-8a55-42d3-878d-bc8141cdb548,LED Monitor Prime,earbuds.jpg,Flipkart,2158,1475,2025-07-31,1956
643ed390-8a55-42d3-878d-bc8141cdb548,LED Monitor Prime,earbuds.jpg,Flipkart,2158,1475,2025-08-07,1910
643ed390-8a55-42d3-878d-bc8141cdb548,LED Monitor Prime,earbuds.jpg,Flipkart,2158,1475,2025-08-14,1684
643ed390-8a55-42d3-878d-bc8141cdb548,LED Monitor Prime,earbuds.jpg,Flipkart,2158,1475,2025-08-21,1556
643ed390-8a55-42d3-878d-bc8141cdb548,LED Monitor Prime,earbuds.jpg,Flipkart,2158,1475,2025-08-28,1518
643ed390-8a55-42d3-878d-bc8141cdb548,LED Monitor Prime,earbuds.jpg,Flipkart,2158,1475,2025-09-04,1928
643ed390-8a55-42d3-878d-bc8141cdb548,LED Monitor Prime,earbuds.jpg,Flipkart,2158,1475,2025-09-11,1814
643ed390-8a55-42d3-878d-bc8141cdb548,LED Monitor Prime,earbuds.jpg,Flipkart,2158,1475,2025-09-18,2111
643ed390-8a55-42d3-878d-bc8141cdb548,LED Monitor Prime,earbuds.jpg,Flipkart,2158,1475,2025-09-25,1860
643ed390-8a55-42d3-878d-bc8141cdb548,LED Monitor Prime,earbuds.jpg,Flipkart,2158,1475,2025-10-02,1792
643ed390-8a55-42d3-878d-bc8141cdb548,LED Monitor Prime,earbuds.jpg,Flipkart,2158,1475,2025-10-09,1722
643ed390-8a55-42d3-878d-bc8141cdb548,LED Monitor Prime,earbuds.jpg,Flipkart,2158,1475,2025-10-16,2122
643ed390-8a55-42d3-878d-bc8141cdb548,LED Monitor Prime,earbuds.jpg,Flipkart,2158,1475,2025-10-23,1850
643ed390-8a55-42d3-878d-bc8141cdb548,LED Monitor Prime,earbuds.jpg,Flipkart,2158,1475,2025-10-30,2150
4ea5cd53-3d9f-42cb-8a93-04e5ff910ee1,Tablet Pro Neo,router.webp,Flipkart,11106,6211,2025-07-24,8165
4ea5cd53-3d9f-42cb-8a93-04e5ff910ee1,Tablet Pro Neo,router.webp,Flipkart,11106,6211,2025-07-31,7909
4ea5cd53-3d9f-42cb-8a93-04e5ff910ee1,Tablet Pro Neo,router.webp,Flipkart,11106,6211,2025-08-07,9012
4ea5cd53-3d9f-42cb-8a93-04e5ff910ee1,Tablet Pro Neo,router.webp,Flipkart,11106,6211,2025-08-14,6340
4ea5cd53-3d9f-42cb-8a93-04e5ff910ee1,Tablet Pro Neo,router.webp,Flipkart,11106,6211,2025-08-21,9516
4ea5cd53-3d9f-42cb-8a93-04e5ff910ee1,Tablet Pro Neo,router.webp,Flipkart,11106,6211,2025-08-28,6423
4ea5cd53-3d9f-42cb-8a93-04e5ff910ee1,Tablet Pro Neo,router.webp,Flipkart,11106,6211,2025-09-04,8081
4ea5cd53-3d9f-42cb-8a93-04e5ff910ee1,Tablet Pro Neo,router.webp,Flipkart,11106,6211,2025-09-11,8452
4ea5cd53-3d9f-42cb-8a93-04e5ff910ee1,Tablet Pro Neo,router.webp,Flipkart,11106,6211,2025-09-18,7338
4ea5cd53-3d9f-42cb-8a93-04e5ff910ee1,Tablet Pro Neo,router.webp,Flipkart,11106,6211,2025-09-25,8858
4ea5cd53-3d9f-42cb-8a93-04e5ff910ee1,Tablet Pro Neo,router.webp,Flipkart,11106,6211,2025-10-02,10750
4ea5cd53-3d9f-42cb-8a93-04e5ff910ee1,Tablet Pro Neo,router.webp,Flipkart,11106,6211,2025-10-09,6591
4ea5cd53-3d9f-42cb-8a93-04e5ff910ee1,Tablet Pro Neo,router.webp,Flipkart,11106,6211,2025-10-16,9072
4ea5cd53-3d9f-42cb-8a93-04e5ff910ee1,Tablet Pro Neo,router.webp,Flipkart,11106,6211,2025-10-23,10387
4ea5cd53-3d9f-42cb-8a93-04e5ff910ee1,Tablet Pro Neo,router.webp,Flipkart,11106,6211,2025-10-30,8513
66860393-2a96-46a5-9761-8f13c2daf51c,Laptop Air X,monitor.webp,Amazon,13250,8701,2025-07-24,8924
66860393-2a96-46a5-9761-8f13c2daf51c,Laptop Air X,monitor.webp,Amazon,13250,8701,2025-07-31,11632
